dataset,rank,model,ranking_metric,timestamp,recall,precision,f1_score,pr_auc,roc_auc,true_negative,false_positive,false_negative,true_positive
Elliptic,1,Transformer,pr_auc,2026-06-28T15:53:59,0.40441176470588236,0.8505154639175257,0.5481727574750831,0.5089110851152706,0.8257583957134611,8395,29,243,165
Elliptic,2,LSTM,pr_auc,2026-06-28T15:53:47,0.39215686274509803,0.6986899563318777,0.5023547880690737,0.44626969685281503,0.8292890993054391,8355,69,248,160
Elliptic,3,MLP,pr_auc,2026-06-28T15:53:32,0.4166666666666667,0.3490759753593429,0.37988826815642457,0.4242455575533026,0.7626299749118194,8116,317,238,170
Elliptic,4,GraphSAGE,pr_auc,2026-06-28T15:54:06,0.3382352941176471,0.2942430703624733,0.314709236031927,0.3485067674840219,0.7735347014413497,8102,331,270,138
Elliptic,5,GAT,pr_auc,2026-06-28T15:54:11,0.34558823529411764,0.37105263157894736,0.35786802030456855,0.28934854624693335,0.8165819155837362,8194,239,267,141
Elliptic,6,GraphSAGE-sampled_complement,pr_auc,2026-06-28T13:02:42,0.35784313725490197,0.38421052631578945,0.37055837563451777,0.24827899570375117,0.7581437768988776,8199,234,262,146
Elliptic,7,GCN,pr_auc,2026-06-28T15:54:02,0.5759803921568627,0.1390532544378698,0.22402287893231648,0.1751332246017478,0.7841250991087767,6978,1455,173,235
Elliptic,8,GAT-sampled_complement,pr_auc,2026-06-28T12:57:18,0.4877450980392157,0.08522483940042827,0.14509660955158585,0.0828183555279434,0.6628284540425917,6297,2136,209,199
Elliptic,9,GCN-sampled_complement,pr_auc,2026-06-28T13:01:50,0.3382352941176471,0.08635794743429287,0.13758723828514458,0.08270427349206468,0.6742928109225429,6973,1460,270,138
IEEE-CIS,1,MLP,pr_auc,2026-06-28T18:04:20,0.359692724807953,0.5444596443228454,0.4331972789115646,0.4215503589726786,0.8486329180756815,56175,666,1417,796
IEEE-CIS,2,LSTM,pr_auc,2026-06-28T18:09:40,0.35110709444193405,0.57006603081438,0.43456375838926176,0.412318187205816,0.8491722728079979,56246,586,1436,777
IEEE-CIS,3,Transformer,pr_auc,2026-06-28T18:12:29,1.0,0.0374798882208485,0.07225178752162983,0.15041152181259623,0.6896969366494262,0,56832,0,2213
IEEE-CIS,4,GraphSAGE-sampled_complement,pr_auc,2026-06-28T15:31:40,0.315860822413014,0.22120253164556963,0.2601898380792853,0.14238307067499092,0.7999120957451866,54380,2461,1514,699
IEEE-CIS,5,GCN,pr_auc,2026-06-28T18:12:56,0.3474920921825576,0.24008741804558226,0.28397341211225996,0.1372689780961456,0.7901617900490657,54407,2434,1444,769
IEEE-CIS,6,GraphSAGE,pr_auc,2026-06-28T18:13:18,0.3429733393583371,0.1858017135862913,0.2410288980628771,0.12671247515677017,0.7846048354590376,53515,3326,1454,759
IEEE-CIS,7,GCN-sampled_complement,pr_auc,2026-06-28T13:52:42,0.3691821057388161,0.13380281690140844,0.19641783868253396,0.10269941792131579,0.7096845838026405,51552,5289,1396,817
IEEE-CIS,8,GAT,pr_auc,2026-06-28T18:13:44,0.272028920018075,0.15137037968317826,0.19450726978998384,0.0965511006072916,0.7440043370042149,53466,3375,1611,602
IEEE-CIS,9,GAT-sampled_complement,pr_auc,2026-06-28T14:11:13,0.9986443741527339,0.037459531840602064,0.07221042313347492,0.04073265558718076,0.5054607698106959,54,56787,3,2210
